feat,importance,b,q_level
state_city_MA_BROCKTON,0,0,0.5
state_city_MA_CAMBRIDGE,0,0,0.5
state_city_MA_LOWELL,0,0,0.5
state_city_MA_NEW_BEDFORD,0,0,0.5
state_city_MA_SPRINGFIELD,0,0,0.5
state_city_MA_WORCESTER,0,0,0.5
state_city_MD,0,0,0.5
state_city_MD_BALTIMORE,0,0,0.5
state_city_ME,0,0,0.5
state_city_MI,0,0,0.5
state_city_MI_ANN_ARBOR,0,0,0.5
state_city_MI_DEARBORN,0,0,0.5
state_city_MI_DETROIT,0,0,0.5
state_city_MI_GRAND_RAPIDS,0,0,0.5
state_city_MI_LANSING,0,0,0.5
state_city_MI_WARREN,0,0,0.5
state_city_MN,0,0,0.5
state_city_MN_MINNEAPOLIS,0,0,0.5
state_city_MN_ROCHESTER,0,0,0.5
state_city_MO,0,0,0.5
state_city_MO_COLUMBIA,0,0,0.5
state_city_MO_INDEPENDENCE,0,0,0.5
state_city_MO_KANSAS_CITY,0,0,0.5
state_city_MO_SPRINGFIELD,0,0,0.5
state_city_MS,0,0,0.5
state_city_MS_JACKSON,0,0,0.5
state_city_MT,2,0,0.5
state_city_MT_BILLINGS,0,0,0.5
state_city_NC,0,0,0.5
state_city_NC_CHARLOTTE,0,0,0.5
state_city_NC_CONCORD,0,0,0.5
state_city_NC_DURHAM,0,0,0.5
state_city_NC_FAYETTEVILLE,0,0,0.5
state_city_NC_GREENSBORO,1,0,0.5
state_city_NC_HIGH_POINT,0,0,0.5
state_city_NC_RALEIGH,0,0,0.5
state_city_NC_WILMINGTON,0,0,0.5
state_city_NC_WINSTON-SALEM,0,0,0.5
state_city_ND,0,0,0.5
state_city_ND_FARGO,0,0,0.5
state_city_NE,0,0,0.5
state_city_NE_LINCOLN,0,0,0.5
state_city_NE_OMAHA,0,0,0.5
state_city_NH,0,0,0.5
state_city_NH_MANCHESTER,0,0,0.5
state_city_NJ_ELIZABETH,0,0,0.5
state_city_NJ_JERSEY_CITY,0,0,0.5
state_city_NJ_NEWARK,0,0,0.5
state_city_NJ_PATERSON,0,0,0.5
state_city_NM,0,0,0.5
state_city_NM_ALBUQUERQUE,0,0,0.5
state_city_NM_LAS_CRUCES,0,0,0.5
state_city_NV,0,0,0.5
state_city_NV_HENDERSON,0,0,0.5
state_city_NV_LAS_VEGAS,0,0,0.5
state_city_NV_NORTH_LAS_VEGAS,0,0,0.5
state_city_NV_RENO,0,0,0.5
state_city_NV_SPARKS,0,0,0.5
state_city_NY,0,0,0.5
state_city_NY_ALBANY,0,0,0.5
state_city_NY_BUFFALO,0,0,0.5
state_city_NY_NEW_YORK,0,0,0.5
state_city_NY_ROCHESTER,0,0,0.5
state_city_NY_SYRACUSE,0,0,0.5
state_city_NY_YONKERS,2,0,0.5
state_city_OH,0,0,0.5
state_city_OH_AKRON,0,0,0.5
state_city_OH_CINCINNATI,0,0,0.5
state_city_OH_CLEVELAND,0,0,0.5
state_city_OH_COLUMBUS,0,0,0.5
state_city_OH_DAYTON,0,0,0.5
state_city_OH_TOLEDO,0,0,0.5
state_city_OK,0,0,0.5
state_city_OK_BROKEN_ARROW,0,0,0.5
state_city_OK_NORMAN,0,0,0.5
state_city_OK_OKLAHOMA_CITY,0,0,0.5
state_city_OK_TULSA,0,0,0.5
state_city_OR,0,0,0.5
state_city_OR_BEND,0,0,0.5
state_city_OR_GRESHAM,0,0,0.5
state_city_OR_HILLSBORO,0,0,0.5
state_city_OR_PORTLAND,0,0,0.5
state_city_OR_SALEM,0,0,0.5
state_city_PA,0,0,0.5
state_city_PA_ALLENTOWN,0,0,0.5
state_city_PA_PHILADELPHIA,0,0,0.5
state_city_PA_PITTSBURGH,0,0,0.5
